titulo,contenido,categoria
A Conflict Resolution Method in Context-Aware Computing,"The creation of various mobile devices speeded up the development of context-aware computing. Context-aware applications are able to adjust execution policies at any moment according to context information such as equipment's position, electric power, network bandwidth, and so on. In various context-aware systems, an important solution is to isolate executable codes in different context into a number of program segments and to select different execution policies according to the context in the process of operation, thus increasing the programming flexibility. However, the method can result in conflicts, making the system unable to select correct execution policy. This paper proposes a kind of algorithm designed to resolve conflicts. The algorithm calculates the selection center of each policy and the offset value of each conflicting policy under the current context environment. The algorithm will select execution policies through comparing offsets of policies, thus eliminating conflicts. To avoid the problem of policy thrashing resulting from frequent changes of context environment within a small scope, the algorithm modifies the calculate method of offset through the introduction of persistence coefficient. Experiments testify that the algorithm can effectively eliminate conflicts and well manifest the intention of policy definition, making policy selection more reasonable. Meanwhile the algorithm can avoid the thrashing of policy selection, providing more satisfaction to user.",Context-aware services;Pervasive computing;Application software;Mobile computing;Bandwidth;Environmental factors;Displays;Algorithm design and analysis;Testing;Temperature
Development of a mobile ecogenomic sensor,"Modern ocean microbial research utilizes advanced molecular analytical techniques, such as polymerase chain reaction (PCR), DNA and protein probe arrays, and nucleic acid sequencing (etc.). Applying or at least initiating these techniques at the point and time of sample collection can enhance their effectiveness. To that end, in-situ sample processing and real-time molecular detection schemes have been implemented using deployable autonomous systems that can be operated in diverse ocean environments from shallow coastal waters to the deep sea. Such devices have been termed “ecogenomic sensors.” The size of these instruments currently requires that they be moored in a fixed location or passively mobile, drifting at fixed depth and observing microbial communities in a moving frame of reference with ocean currents. With the highly dynamic motion of open water and microbial life, the next frontier of ocean microbial research requires the improved capability of an actively mobile asset. A mobile ecogenomic sensor encompasses a fully maneuverable vehicle with weeks of persistence, environmental data analysis, detection of physical and biological features, autonomous sampling and in situ analysis, and near-real-time data reporting. This system is now being developed by integrating three components: a compact molecular analytical instrument (the 3rd generation Environmental Sample Processor), a long-range autonomous underwater vehicle, and software algorithms for AUV-based feature detection and sampling. A summary of the system and its initial application is presented.",Instruments;Oceans;Valves;Media;Mobile communication;Laboratories;DNA;Autonomous underwater vehicle (AUV);ecogenomic sensor;harmful algae bloom;in situ instrumentation;microbe;PCR;sample collection
IEEE Draft Guide for Architectural Framework and Application of Federated Machine Learning,"Federated machine learning defines a machine learning framework that allows a collective model to be constructed from data that is distributed across repositories owned by different organizations or devices. A blueprint for data usage and model building across organizations and devices while meeting applicable privacy, security and regulatory requirements is provided in this guide. It defines the architectural framework and application guidelines for federated machine learning, including description and definition of federated machine learning; the categories federated machine learning and the application scenarios to which each category applies; performance evaluation of federated machine learning; and associated regulatory requirements.",IEEE Standards;Computer architecture;Machine learning;Metasearch;Privacy;Security;Performance evaluation;Security;Computational efficiency;computation efficiency;economic viability;federated machine learning (FML);IEEE 3652.1™;incentive mechanism;machine learning;model performance;privacy;privacy regulations;security
Unveiling the Potential of Machine Learning: Harnessing Machine Learning for Enhanced Coronary Heart Disease Detection and Intervention,"Coronary heart disease (CHD) remains a critical global health issue, necessitating effective predictive models to enhance early diagnosis and intervention. This study explores the application of various machine learning algorithms to CHD data to identify and predict the risk of developing the disease based on health indicators. We employed several algorithms, including Logistic Regression, Random Forest Classifier, Support Vector Machine (SVM), and Recurrent Neural Network (RNN), each with its unique strengths and limitations. The Logistic Regression model achieved an accuracy of approximately 86%, proving effective in binary classification tasks but revealing potential class imbalance issues. The Random Forest Classifier demonstrated robustness with an accuracy of around 85.24%, adeptly handling complex datasets. While specific accuracy metrics for the SVM were not detailed, it was noted for its classification capabilities. The RNN achieved an accuracy of approximately 85.96%, effectively capturing temporal dependencies within the data. Results indicate that although all models performed well, challenges such as class imbalance impacted performance metrics, especially in predicting CHD cases. This highlights the need for further refinement in predictive models to improve precision, recall, and F1-scores. Later research will examine the integration of advanced deep learning methodologies to enhance the precision and dependability of CHD forecasts.",Support vector machines;Heart;Logistic regression;Recurrent neural networks;Machine learning algorithms;Accuracy;Predictive models;Prediction algorithms;Random forests;Diseases;Coronary Heart Disease (CHD);Machine Learning Algorithms;Logistic Regression;Random Forest Classifier;Support Vector Machine (SVM);Recurrent Neural Network (RNN);Predictive Modelling in Healthcare
Unsupervised Machine Learning Methods for Artifact Removal in Electrodermal Activity,"Artifact detection and removal is a crucial step in all data preprocessing pipelines for physiological time series data, especially when collected outside of controlled experimental settings. The fact that such artifact is often readily identifiable by eye suggests that unsupervised machine learning algorithms may be a promising option that do not require manually labeled training datasets. Existing methods are often heuristic-based, not generalizable, or developed for controlled experimental settings with less artifact. In this study, we test the ability of three such unsupervised learning algorithms, isolation forests, 1-class support vector machine, and K-nearest neighbor distance, to remove heavy cautery-related artifact from electrodermal activity (EDA) data collected while six subjects underwent surgery. We first defined 12 features for each halfsecond window as inputs to the unsupervised learning methods. For each subject, we compared the best performing unsupervised learning method to four other existing methods for EDA artifact removal. For all six subjects, the unsupervised learning method was the only one successful at fully removing the artifact. This approach can easily be expanded to other modalities of physiological data in complex settings.Clinical Relevance— Robust artifact detection methods allow for the use of diverse physiological data even in complex clinical settings to inform diagnostic and therapeutic decisions.",Training;Support vector machines;Machine learning algorithms;Time series analysis;Pipelines;Surgery;Machine learning
Predicting Urban Land Cover Using Classification: A Machine Learning Approach,"The classification of urban land cover is a crucial step in comprehending the evolution of the urban environment and its effects. We are providing a comparative analysis of machine learning methods for classifying urban land cover using remote sensing data in this research. The study utilises the Urban Land Cover dataset which is obtained from the UCI Machine Learning Repository, which contains high-resolution images taken of urban areas. Also, comparison of several popular machine learning classification algorithms, such as Decision Tree classifier, Random Forest classifier, Support Vector Machine classifier (SVM/SVC), XGBoost classifier, K-Nearest Neighbors classifier (KNN) and Ridge classifier is done along with their accuracy scores. This comparison shows that the Random Forest algorithm outperforms the other machine learning algorithms with an overall accuracy of 91.38 % after removing the outliers and using Grid Search CV to tune the hyper-parameters.",Support vector machines;Machine learning algorithms;Forests;Shape;Urban areas;Land surface;Classification algorithms;Urban Land Cover Classification;Machine Learning Algorithms;Remote Sensing Data;Comparative Anal-ysis;MAUP;OBIA;Random Forest
Unlocking Stock Market Potential: Machine Learning Predictions for NIFTY50's Most Profitable Companies,"The use of machine learning (ML) to recognize the stock market trend as well as companies, which are expected to provide the most profit with-in NIFTY50 index is a focus area work in the past 5 years of historical data. We use many ML models (linear regression, decision trees, and neural networks) to predict stock price movements in order to decide which are the top 5 companies with the best return. In summary, according to our experiment the ML models can be good at predicting stock trends and are thus very useful for any investors. It demonstrates how deep learning and machine learning could be used to empower the levels of investment strategies with non-linear irregularities not captured by traditional models. The dictionary tells you what kind of processing has been performed on the data (such as missing value handling, normalization etc.), which keeps things more organized. We also use feature engineering techniques such as moving averages, relative strength index (RSI), and moving average convergence divergence (MACD) to improve the predictability of these models.",Neural networks;Linear regression;Machine learning;Companies;Predictive models;Market research;Indexes;Decision trees;Stock markets;Investment;Stock market prediction;machine learning;NIFTY50;linear regression;decision trees;neural networks
Unlocking Stock Market Potential: Machine Learning Predictions for NIFTY50's Most Profitable Companies,"The use of machine learning (ML) to recognize the stock market trend as well as companies, which are expected to provide the most profit with-in NIFTY50 index is a focus area work in the past 5 years of historical data. We use many ML models (linear regression, decision trees, and neural networks) to predict stock price movements in order to decide which are the top 5 companies with the best return. In summary, according to our experiment the ML models can be good at predicting stock trends and are thus very useful for any investors. It demonstrates how deep learning and machine learning could be used to empower the levels of investment strategies with non-linear irregularities not captured by traditional models. The dictionary tells you what kind of processing has been performed on the data (such as missing value handling, normalization etc.), which keeps things more organized. We also use feature engineering techniques such as moving averages, relative strength index (RSI), and moving average convergence divergence (MACD) to improve the predictability of these models.",Neural networks;Linear regression;Machine learning;Companies;Predictive models;Market research;Indexes;Decision trees;Stock markets;Investment;Stock market prediction;machine learning;NIFTY50;linear regression;decision trees;neural networks
Unsupervised Machine Learning Methods for Artifact Removal in Electrodermal Activity,"Artifact detection and removal is a crucial step in all data preprocessing pipelines for physiological time series data, especially when collected outside of controlled experimental settings. The fact that such artifact is often readily identifiable by eye suggests that unsupervised machine learning algorithms may be a promising option that do not require manually labeled training datasets. Existing methods are often heuristic-based, not generalizable, or developed for controlled experimental settings with less artifact. In this study, we test the ability of three such unsupervised learning algorithms, isolation forests, 1-class support vector machine, and K-nearest neighbor distance, to remove heavy cautery-related artifact from electrodermal activity (EDA) data collected while six subjects underwent surgery. We first defined 12 features for each halfsecond window as inputs to the unsupervised learning methods. For each subject, we compared the best performing unsupervised learning method to four other existing methods for EDA artifact removal. For all six subjects, the unsupervised learning method was the only one successful at fully removing the artifact. This approach can easily be expanded to other modalities of physiological data in complex settings.Clinical Relevance— Robust artifact detection methods allow for the use of diverse physiological data even in complex clinical settings to inform diagnostic and therapeutic decisions.",Training;Support vector machines;Machine learning algorithms;Time series analysis;Pipelines;Surgery;Machine learning
A Survey on Machine Learning Approaches and Its Techniques:,"With the data and information is available at a tremendous rate, there is a need for machine learning approaches. Machine learning, it analyses the study and constructs the algorithms by making prediction on data. It builds model from the inputs to make the decisions or predictions. Machine learning algorithms it assists in bridging the gap of understanding. In this literature we investigate different machine learning approaches and its techniques.",Machine learning algorithms;Supervised learning;Machine learning;Reinforcement learning;Semisupervised learning;Predictive models;Unsupervised learning;Machine learning;Supervised learning;Unsupervised learning;Semi-supervised learning;Reinforcement Learning.
